标准答案,题干,选项A,选项B,选项C,选项D,选项E
D,患者，男，50岁，腰膝酸痛，畏寒，得温则减，面色苍白，小便清长，遗精，舌苔白滑，脉沉细，服用中药后出现四肢麻木，舌质僵硬，不属于中毒的原因是,方中使用生附子,煎药时间太短,附子使用过量,附子用量太小,方中使用乌头
D,患儿睡中遗尿，平素少气懒言，食欲不振，大便溏薄，自汗出，舌淡，苔薄，脉细无力。治疗时除主穴外，还应用的腧穴是(   ),关元、中极、膀胱俞,肾俞、命门、太溪,行间、阴陵泉、太冲,肺俞、气海、足三里,百会、神门、三阴交
D,下列哪项不是医疗机构应当在12小时内向当地卫生行政部门报告的重大医疗过失行为,发生死亡的,有重度残疾的,有中度残疾的,同时二人人身损害后果的,同时三人人身损害后果的
C,生姜泻心汤的药物组成是,大黄、黄芩、黄连、半夏、干姜、人参、大枣、炙甘草,大黄、黄芩、黄连、半夏、生姜、人参、大枣、炙甘草,黄芩、黄连、半夏、干姜、生姜、人参、大枣、炙甘草,黄芩、黄连、半夏、干姜、大枣、炙甘草、人参,黄芩、黄连、半夏、生姜、大枣、炙甘草
A,眩晕,椎基底动脉系统TIA,颈内动脉血栓形成,大脑前动脉血栓形成,大脑中动脉血栓形成,大脑后动脉血栓形成
C,既主湿又主虚的脉象为,散脉与濡脉,微脉与濡脉,细脉与濡脉,散脉与微脉,细脉与弱脉
B,阳盛格阴证属于,真寒假热证,真热假寒证,虚寒证,虚热证,阴阳两虚证
C,主气郁气损的脉象是,浮脉,洪脉,短脉,数脉,动脉
E,患者，女，39岁。身热无汗，惟颈以上出汗，小便不利，口渴引饮，腹满，大便不通，身目俱黄，黄色鲜明，小便黄。治宜,栀子豉汤,栀子柏皮汤,茵陈术附汤,茵陈五苓散,茵陈蒿汤
A,化脓菌感染的血象改变是,中毒颗粒,嗜酸性粒细胞增多,异型淋巴细胞,单核细胞增多,嗜碱性粒细胞增多
E,有关跟骨骨折的诊疗错误的是：,跟骨骨折后下肢不能负重,足弓低平，足跟增宽,须摄轴位片,用双手相叩对挤法整复,复位后踝部中立位固定
A,有关AIDS典型艾滋病期的描述，错误的是,播散性分枝杆菌感染少见,出现各种致命性机会感染,出现各种恶性肿瘤，如卡波西肉瘤等,卡氏肺囊虫肺炎多见,预后极差
C,在《素问·脉要精微论》中，精明之府是指,目,耳,头,髓,心
C,芍药汤与白头翁汤组成中均含有的药物是,芍药,白头翁,黄连,大黄,黄柏
D,《素问·至真要大论》对“诸寒之而热者”宜采用的治法为,取之热,取之寒,取之阳,取之阴,取之营
E,灼热烦躁，目合耳聋，神识不清，时有谵语，舌绛，苔黄腻，脉滑数。选方为,三石汤,甘露消毒丹,白虎加苍术汤,犀角地黄汤,清营汤合六一散
A,升浮药物大多具有的性味是,味辛、甘，性温、热,味辛、甘，性寒、凉,味酸、苦、咸，性温、热,味酸、苦、咸，性寒、凉,味辛、酸，性寒、热
D,四逆汤和理中丸中均含有的药物是,人参、白术,白术、茯苓,茯苓、干姜,干姜、甘草,甘草、生姜
D,六一散的功用是,清暑通络,清暑化湿,解暑除烦,清暑利湿,祛暑清热
D,不属于创伤性休克的原因有(　　)。,外伤失血,神经功能紊乱,细菌感染,药物过敏,坏死组织吸收
B,下列关于五行生克规律的表述，正确的是,木为土之所胜,木为水之子,火为土之子,水为火之所胜,金为木之所胜
D,伤科患者舌色青紫所主病为(   ),阴寒血凝,津伤血滞,气血虚弱,瘀血凝聚,里热实证
A,人体实验道德原则不包括的是,不告知原则,医学目的原则,维护受试者利益原则,知情同意原则,科学性原则
C,股骨干骨折在持续牵引时，成人牵引重量约为（  ）,1/5体重,1/6体重,1/7体重,1/8体重,以上都不是
C,喘鸣音属于,胸语音,湿啰音,干啰音,羊鸣音,爆裂音
E,下列哪条途径一般不会传播艾滋病,输入血制品,共用注射器,共用剃须刀,性接触,共用马桶
E,具有补气养阴、清热生津功效的药物是,玄参,苦参,丹参,太子参,西洋参
D,“囟填”的形成，主要由于,肾气不足,气血不足,吐泻伤津,外感时邪,肾精不足
C,干燥综合征的标记性抗体,抗组蛋白抗体,抗Sm抗体,抗SS-B抗体,抗Scl-70抗体,抗Jo-1抗体
D,伤科患者在梳发动作受限时说明肩关节何功能活动障碍(   ),外展,内收,后伸,外旋,内旋
B,仲景治疗咳嗽，若痰浊黏稠，多用,麻黄,皂荚,干姜,杏仁,甘草
E,不属于腓总神经检查的是,第1、2趾之间的皮肤感觉,足背侧大部分皮肤感觉,趾指背伸运动,足背伸运动,足跖屈运动
B,下列各项，不属于痰热壅肺表现的是,咳痰黄稠,鼻流清涕,气喘息粗,吐脓血痰,溲赤便秘
B,炙甘草汤证的脉证见(   ),心下悸，头眩,脉结代，心动悸,脉浮，自汗出，小便数,发汗，病不解，反恶寒者,心中悸而烦
C,慢性阻塞性肺气肿患者语音震颤的表现是,一侧增强,一侧减弱,双侧减弱,双侧增强,双侧正常
C,"据《素问·痹论》所述，症见：""肌肤麻木不仁""者，痹在(   )",筋,脉,肉,皮,骨
E,正常人胸部不会出现的叩诊音是,清音,浊音,鼓音,实音,过清音
D,普通型流脑败血症期特征性的表现是,高热,剧烈头痛,全身中毒症状,皮肤黏膜瘀斑,脑膜刺激征阳性
D,下列麻黄汤煎服法中哪项是正确的(   ),温覆使大汗出,啜热稀粥一升余，以助药力,可兼服大蒜、胡荽以助发汗,若一服汗出病差，停后服，不必尽剂,先煮麻黄、桂枝，去上沫
B,肋骨骨折并发血胸时，X线上可见(   ),肺内为液体阴影所掩盖,肋膈角消失,肋膈角饱满,出现液平面,全肺为气体阴影所掩盖
B,"五行相克的关系中，恐""所胜""的情志是",怒,喜,思,悲,惊
D,"""伤寒二三日，心中悸而烦者""，应用",大建中汤,茯苓桂枝白术甘草汤,厚朴生姜半夏甘草人参汤,小建中汤,桂枝人参汤
B,开放性损伤早期防止感染的最根本的手段是：,尽早清创,彻底清创,应用抗生素,放置引流,清热解毒药物的应用
A,葛根芩连汤中喘而汗出的机理是,大肠热盛，上蒸于肺，外蒸于体表,兼太阳病不解，肺气不宣,邪热内传阳明，大肠传导失职,表邪内陷，肺热壅盛,太阳病误下，邪陷胸中，正气尚能抗邪外出
A,下列各项，不是卫生法中刑事责任特征的是,侵害了卫生法所保护的社会关系构成犯罪所应承担的法律后果,是最严厉的一种法律责任,只能由犯罪行为人承担,具有不可转移性,只能由司法机关代表国家依法定程序予以追究
B,膝关节最稳定的位置为(  ),功能位,伸直位,屈曲位,半屈位,过伸位
C,下列忌火煅的药物是,青礞石,牡蛎,朱砂,石决明,代赭石
C,应用半夏白术天麻汤的辨证要点是,眩晕耳鸣，舌苔白滑，脉弦滑,咳嗽痰多，食少胸痞，舌苔白腻，脉滑,眩晕头痛，舌苔白腻，脉弦滑,心烦不寐，眩悸呕恶，苔白腻，脉弦滑,癫狂惊悸，大便干燥，苔黄厚腻，脉滑数
C,肩部正常活动正常范围是,前屈145度；后伸45度；外展90度；内收40度；外旋30度；内旋80度,前屈90度；后伸45度；外展120度；内收40度；外旋30度；内旋30度,前屈90度；后伸45度；外展90度；内收40度；外旋30度；内旋80度,前屈45度；后伸40度；外展120度；内收30度；外旋80度；内旋30度,前屈90度；后伸45度；外展90度；内收40度；外旋30度；内旋30度
A,“阳明之为病，胃家实是也”，下面不属于“胃家”的是(   ),膀胱,大肠,小肠,手阳明经,足阳明经
D,理中汤和温脾汤中均含有的药物是,人参、白术,白术、茯苓,茯苓、干姜,干姜、甘草,甘草、生姜
D,治疗外感风寒之太阳头痛，宜首选,葛根,香薷,防风,羌活,白芷
D,具有疏肝解郁安神功效的药物是,石菖蒲,龙骨,远志,合欢皮,酸枣仁
B,跖趾关节脱位后一般固定多长时间？(　　),1～2周,2～3周,3～4周,4～5周,不必固定
D,患者，女，40岁，月经失调，痛经，经血颜色紫暗，有大量血块，平素腰膝酸软，舌红，脉弦数。该患者不宜选用的药物是,丹参,牛膝,鸡血藤,炮姜,延胡索
A,在爱国卫生宣传的日子里,号召大家重视环境卫生和环境保护，自己不应乱倒垃圾、污水,教育别人酗酒有害健康，自己应不酗酒,宣传随地吐痰是不文明行为，自己应不随地吐痰,宣传吸烟有害人体健康，自己应不吸烟,要求民众重视个人卫生，自己居家应整洁，个人穿着得体、卫生
D,具有温中补虚、和里缓急功效的方剂是,理中丸,吴茱萸汤,大建中汤,小建中汤,四逆汤
D,过度劳累后，旧病发作，其发病类型是,感而即发,继发,伏而后发,复发,徐发
A,猪苓汤和五苓散两方共有的药物是(   ),猪苓、茯苓、泽泻,猪苓、白术、泽泻,猪苓、滑石、白术,猪苓、白术、茯苓,猪苓、阿胶、桂枝
E,茯苓与薏苡仁具有的共同功效是,安神,除痹,通乳,解毒,健脾
E,三黄二香散中二香是指(    ),香附、木香,香附、乳香,乳香、木香,乳香、藿香,乳香、没药
E,无移位的股骨颈骨折，可用轻重量皮肤牵引固定____周（  ）,2～3,3～4,4～5,5～6,6～8
B,眼球突出可见于,吐泻,肺胀,中风,眼丹,水肿
B,汗出不止，喘咳欲脱，脉散大，证属(    ),暑伤津气,津气欲脱,暑伤肺络,暑热动风,暑入血分
C,紫雪的主治病证是,暑令时疫,热邪内陷心包证,热盛动风证,暑秽,痰热内闭心包证
D,妇人杂病的三大病因是(   ),虚、冷、血瘀,虚、冷、积食,痰、瘀、结气,虚、冷、结气,虚、瘀、痰
D,伏暑，暑湿郁蒸气分，兼积滞阻于肠道，其大便性状是(    ),溏而不爽，色黄赤如酱,纯利恶臭稀水，肛门灼热,初硬后溏,下利色黄热臭，肛门灼热,大便色黑而易解
A,犯罪自然人具有刑事责任能力的是,犯罪主体,犯罪客体,犯罪主观,犯罪客观,犯罪行为
B,小儿拇指屈伸腱鞘炎的临床表现为(　　)。,与成人相同,拇指掌指关节屈曲，运动困难,用力屈伸时不会出现弹响声,拇指间关节扳动后方能被动伸直，并出现弹响声,以上均不正确
A,肺纤维引起的是,肝浊音界上移,肝浊音界下移,肝浊音界消失,肝浊音界扩大,肝浊音界缩小
D,下列哪一项不是风温的诊断要点,发生于春冬两季的外感热病,发病初起有发热，恶风寒，咳嗽，口渴，脉浮等肺卫见症,继则出现肺热壅盛等气分症状,在病变过程中易出现斑疹、痉厥、神昏及虚风内动症,发于冬季的，称为冬瘟
B,按之胸痛，叩之音实者，为,胸部外伤,饮停胸膈,真心痛,心气虚,肺胀
D,对骨伤科来说，望诊之首要是,望肿胀,望畸形,望形态,望神色,望创口
D,壮热，面赤，汗多，心烦，渴喜凉饮，舌质红，苔黄燥，脉洪大有力。方选,神犀丹,安宫牛黄丸,三甲复脉汤,白虎汤,羚角钩藤汤
A,心脏与大血管后前位摄片图像左侧缘自上而下对应的解剖结构是,主动脉结节、肺动脉段、左心室,肺动脉段、主动脉结节、右心室,主动脉结节、肺动脉段、右心室,主动脉结节、左心房、左心室,上腔静脉、肺动脉段、左心室
C,赤芍治疗的病证是,湿热黄疸,热结便秘,目赤肿痛,惊风抽搐,风热感冒
B,乌梅丸证的治法是,寒温并用，健脾除湿,清上温下，安蛔止痛,寒温并用，和胃消痞,寒温并用，健脾止利,清上温下，安蛔止呕
A,锁骨中段骨折典型的移位方式为：,内侧段向后上方，外侧段向前下方,内侧段向前上方，外侧段向后下方,内侧段向前下方，外侧段向后下方,内侧段向前上方，外侧段向前下方,内侧段向后下方，外侧段向前上方
E,以下哪一个不是腰骶部骨骼先天性结构异常(   ),腰椎骶化,骶椎腰化,骶椎隐裂,游离棘突,骨质疏松
D,益气升阳法的代表方剂是,当归补血汤,固冲汤,玉屏风散,补中益气汤,补阳还五汤
B,具有益气养阴、补脾肺肾功效的药物是,白术,山药,大枣,饴糖,黄芪
A,左金丸的主治病证是,肝火犯胃证,胃热阴虚证,心经火热证,肝胆实火证,肺热壅盛证
A,实热性腹满的辨证要点是(   ),腹满不减，减不足言,腹满时减，复如故,腹不满，其人言我满,喜温喜按,发热，腹满肠鸣
A,急性腰扭伤的病位不包括(　　)。,椎间盘,韧带,关节,肌肉,筋膜
C,股骨粗隆间骨折牵引重量，一般约为体重的(   )。, 1/5, 1/6, 1/7, 1/8, 1/9
C,胃热患者，其口气为,酸臭,奇臭,臭秽,腥臭,腐臭
B,以下关于心理应激的说法错误的是,应激源是心理社会因素,对工作肯定会产生不良影响,可产生心理反应,可危及个人的健康,可产生生理反应
E,里寒证常见,发热恶寒,但热不寒,发热恶风,寒热往来,但寒不热
A,血尿的正确概念是,离心尿沉渣每高倍镜视野3个以上红细胞,离心尿沉渣低倍镜下偶见个别红细胞,尿呈洗肉水样,显微镜下大量红细胞,离心尿沉渣高倍镜下每视野10个以上红细胞
C,霍乱兼表证治用分利兼表散法，后世称为急开支河，共代表方剂为,葛根汤,桂枝加人参汤,五苓散,黄芩散,葛根黄芩连汤
E,下列不是卫生法中民事责任的特征是,主要是财产责任,是一方当事人对另一方的责任,是补偿当事人的损失,在法律允许的条件下，可以由当事人协商解决,以赔偿损失为主要形式
C,乌头汤中用白蜜，主要目的是,调和药性,润肠通便,解乌头之毒,和里缓急,缓急止痛
E,脱位后出现的特征是(   ),骨擦音,疼痛,异常活动,骨摩擦感,弹性固定
D,正常人脾浊音界在左腋中线的第几肋之间,7～10,8～10,8～11,9～11,10～肋缘
E,治疗风热郁闭，咽喉肿痛，大便秘结者，应选用的药物是,薄荷,蝉蜕,菊花,蔓荆子,牛蒡子
C,因阳热亢盛，损伤阴精出现的昏厥病证，《素问·生气通天论》称之为(   ),气厥,血厥,煎厥,薄厥,热厥
D,医师进行实验性临床医疗，应当,经医院批准,征得本人同意,征得患者本人或者其家属同意,经医院批准并征得患者本人或者其家属同意,经医院批准或者征得患者本人及家属同意
B,消化道出血时肠鸣音的变化是,肠鸣音正常,肠鸣音活跃,肠鸣音亢进,肠鸣音减弱,肠鸣音消失
C,"养生中的""养""不包括的是",保养,调养,滋养,补养,护养
C,燥痰的特点是,痰白清稀或有灰白点,痰黄黏稠有块,痰少而黏，难咯,脓血痰味腥臭,痰白滑量多，易咯
A,濡脉与弱脉的主要不同点，在于,脉位的浮沉,脉力的大小,脉形的长短,脉率的快慢,脉律的齐否
C,湿温后期，余湿未尽证，选方为,薛氏扶阳逐湿汤,清络饮,薛氏五叶芦根汤,薛氏参麦汤,东垣清暑益气汤
E,四季平脉中夏季应为,微毛,微石,微软,微弦,微钩
D,关节脱位的病因中以哪项为多见(  ),持续劳损,肌肉强列收缩,直接暴力,间接暴力,感染
A,胁肋灼痛、咳嗽阵作者多为,肝火犯肺证,肝火炽盛证,肝胃不和证,肝郁脾虚证,肝肾阴虚证
E,下列对骨折愈合无明显影响的是(　　)。,感染,骨折间有软组织嵌入,骨缺损,反复手法复位,功能复位
C,水湿内停时，面部颜色可见,青色、赤色,黑色、青色,黄色、黑色,赤色、白色,赤色、黑色
B,脑膜炎球菌属于,志贺菌属,奈瑟菌属,沙门菌属,埃希菌属,弧菌属
B,土的特性是,曲直,稼穑,从革,炎上,润下
A,具有温脾开胃摄唾、暖肾固精缩尿作用的药物是,益智仁,补骨脂,杜仲,蛤蚧,冬虫夏草
D,伤寒患者皮疹开始出现的时间是,热退以后,病程的第1天,病程的第3天,病程的第7天,日期不定
A,脾肾阳虚之五更泄泻，宜选用的方剂是,四神丸,附子理中丸,补中益气汤,真人养脏汤,四君子汤
D,"在""余少婴俗病""中，""婴""之义为(  )",幼小,婴儿,缠绕,被缠绕,
A,"下列同""醴醪鬻其肠胃""中，""醴醪""的是(  )",醇醴,甜酒,美酒,浊酒,
B,心理测量工具好坏的最基本标志是,常模,信度和效度,代表性,标准化,以上都不是
C,"在""悉从简径明白""中""径""之义为(  )",大路,邪路,直接,直路,
A,搓摩胁肋能：,疏肝消积，顺气化痰,降逆平喘、止咳化痰,和胃理气，降逆止呕,培肾固本，温补下元,健脾和胃，消食和中
A,关于推拿疗法的一般注意事项中以下哪项是不正确：,妇女月经期的腰臀部，腹部穴位要重用,病人有思想顾虑或畏惧情绪时，应先做好解释工作,手法要尽可能轻柔以避免医源性损伤，特别是关节运动类手法，如颈椎斜扳法，常引发医疗事故,推拿前应注意指甲是否需要修剪,病人在过于饥饿、饱胀、疲劳、精神紧张时，不宜立即推拿
A,急性心理应激反应症状可能和哪种疾病混淆,甲亢,糖尿病,肺结核,胃溃疡,冠心病
D,"在""举隅而反，触类而推""中，""举隅""之义为(  )",举起一个角,由此及彼,举一反三,举一端为例,
B,"""下及诸子传说，皆充秘府""中""府""是( )",直接引申义,本义,间接引申义,假借义,比喻义
C,"在""古之仙人者，皆由学以得之？将特禀异气耶""中，""特""之义为(  )",请,将要,是……还是……,扶持,
E,危害社会，触犯刑律是,犯罪主体,犯罪客体,刑事责任,刑事处罚,犯罪行为、违法行为
A,以下哪条与筋脉病变有关（   ）,诸风掉眩,诸气膹郁,诸湿肿满,诸痛痒疮,诸躁狂越
B,及时就医并遵守医嘱及医院的各项规章制度，属,病人的权力,病人的义务,病人角色行为异常,病人角色行为强化,病人角色行为缺如
D,心脏瓣膜Erb听诊区又称,二尖瓣听诊区,肺动脉瓣听诊区,主动脉瓣听诊区,主动脉瓣第二听诊区,三尖瓣听诊区
E,具有收敛固涩，益气生津，补肾宁心功效的药物是,乌梅,浮小麦,麻黄根,山茱萸,五味子
A,急性腰扭伤时应注意：,卧板床休息,加强腰背肌锻炼,加强静息位股四头肌锻炼,加强关节功能锻炼,绷带固定
E,茯苓丸的功用是,燥湿化痰，理气和中,理气化痰，和胃利胆,清热化痰，理气止咳,清热化痰，宽胸散结,燥湿行气，软坚化痰
B,"以下哪个标点依次为""，。，，，。，。""(  )",夫三皇设教上帝垂慈憨群生有困笃之疾救黎庶有天伤之厄（《马宗礼素问要论序》）,因于湿首如裹湿热不攘大筋腝短小筋弛长绥短为拘弛长为痿（《素问·生气通天论》）,中古之治病至而治之汤液十日以去八风五痹之病（《素问，汤液醪醴论》）,君名桂字天士号香岩先生自歙迁吴君少从师受经书暮归君考阳生翁授以岐黄学年十四翁弃养乃从翁门人朱君某专学为医（《叶香岩传》）,
B,生地黄、玄参均具有的功效是,清热解毒，凉血消斑,清热凉血，养阴增液,清热凉血，活血散瘀,清热解毒，疏风散热,清热燥湿，泻火解毒
B,"在""转摇不能，肾将惫矣""中，""惫""的意义是(  )",疲乏,衰败,完备,极点,
C,患者腹泻，日3～5次，为稀水便，有后重感，伴腹痛，时口渴，时悸，四肢欠温，脉弦，治疗当用,黄芩汤,白头翁汤,四逆散,葛根芩连汤,理中汤
E,下列体征提示器质性心脏病的是,心尖部收缩期杂音,肺动脉瓣区第二心音亢进,肺动脉瓣区第二心音分裂,心尖部第三心音,心尖部舒张期震颤
D,"以下不含""由""义的是( )","""繇此言之，儒其可不尽心是书乎""中的""繇""","""繇是睹奥升堂""中的""繇""","""俾厥土宇用能康宁""中的""用""","""我国家率由兹典""中的""由""","""如此之患，岂由天乎""中的""由"""
A,一指禅偏峰推法在临床上多用于（   ）,颜面部,颈项部,四肢关节部,背部,
C,桂枝新加汤证身痛的机理是,风寒外束，营阴郁滞,阳虚阴盛，气血运行不畅,营气不足,阴盛格阳，阳亡阴竭,阴寒内盛，虚阳外越
C,具有强烈传染性的邪气是,风邪,暑邪,疠气,六淫,六气
A,"在""夫人生于地，悬命于天""中，""悬""之义为(  )",系,褂,关,通,
A,"在""故亦曲碎论之""中，""曲碎""之义为(  )",琐碎,零乱,曲折,详细,
A,羚角钩藤汤的主治病证是,肝热生风,肝肾阴亏，肝阳上亢,肝阳偏亢，肝风上扰,阴虚风动,痰热扰心
B,"下列句中不含表""如果""义词的是( )",举世昏迷，莫能觉悟，不惜其命，若是轻生，彼何荣势之云哉,今执途之人而问之日：一瓢先生非名医乎,则圣人不合启金滕，贤者曷为条玉版,向非先生，或投大黄凉药下之，不知竟作何状,
A,从《汉书艺文志序》可知，西汉曾组织人力系统地整理古代书籍，先后全面负责这一工作的是(  ),刘向和刘歆,刘向和陈农,任宏和陈农,刘歆和李柱国,
A,"在""主相晋国，于今八年""中，""相""的意义是(  )",宰相,丞相,看,互相,
B,具有清实热、退虚热功效的药物是,石膏,知母,黄芩,苦参,栀子
D,蕲蛇的主治病证下述哪项是错误的,风湿顽痹疼痛,中风半身不遂,破伤风,跌打损伤瘀痛,皮肤顽癣
D,HIV感染的细胞主要是,神经胶质细胞,单核细胞,B淋巴细胞,CD4+T淋巴细胞,直肠黏膜上皮细胞
C,"""清阳实四支，浊阴归六府""中""浊阴""是指",阳气,宗气,糟粕,精血,营气
A,"""齐王侍医遂病，自练五石服之""中的""练""是( )",通假字,古今字,异体字,讹字,俗字
A,既是医务人员内心信念和良心的具体表现，又是医务人员对患者和社会的义务感、责任感、同情感的总体体现的是,审慎,保密,情感,良心,幸福
A,五苓散主治病证的病机是,太阳经腑同病，水蓄膀胱,下焦虚寒，湿浊不化,中阳不足，饮停心下,脾肾阳虚，水气内停,脾肾阳虚，水气内停，气机不畅
D,以下哪项检查对腰部神经受压不具备针对性：,屈颈试验,挺腹试验,颈静脉压迫试验,"""4""字试验",直腿抬高加强试验
D,属于心电图负荷试验禁忌证的是,陈旧性心肌梗死,风湿性二尖瓣关闭不全,无临床症状的冠心病,急性肺栓塞,2级高血压
D,"在""臣闻韶卫不并奏""中，""韶卫""之义为(  )",韶国和卫国,韶乐和卫乐,尧舜时乐曲,高雅之乐和低俗之乐,
E,下焦病证的病机特点是,热邪炽盛，动风动血,热灼营阴，心神被扰,热邪壅滞，肺气被郁,热在心肝，伤阴动血,热邪久留，肝肾阴虚
D,"以下各句不表""只是""义的是( )","""但称治验，而不言其所以然""中的""但""","""今所传者，惟此二种""中的""惟""","""仅读伤寒书不足以治瘟疫""中的""仅""","""瘟疫变现杂症之多，几与伤寒等""中的""几""","""吐中有汗，下中有补，止有三法""中的""止"""
D,"医师应认真执行医疗文书书写与管理制度,不(      )医学文书及有关资料。",伪造,违规涂改,销毁,以上都是,
B,主清肺与胃之火的药物是,夏枯草,石膏,淡竹叶,栀子,黄芩
B,"五行中""水""的""子""行是",金,木,水,火,土
C,硫黄的功效是,杀虫补血,杀虫通便,杀虫止痒，燥湿，温肾壮阳,解毒利咽,杀虫涌吐
E,中医治疗慢性肝炎肝肾阴虚证的方剂是,茵陈蒿汤,四君子汤,鳖甲煎丸,逍遥散,一贯煎
D,属于内分泌与代谢障碍所致发热的是,肝癌,淋巴瘤,药物热,甲状腺功能亢进症,中暑
B,心肝血虚，虚热内扰而虚烦失眠、眩晕心悸者，治宜选用,天王补心丹,酸枣仁汤,磁朱丸,甘麦大枣汤,朱砂安神丸
D,患者，女，30岁。干咳少痰1周，伴有咽干音哑，口干喜饮，舌边尖红，苔薄黄，脉浮数。首选药组是,杏仁、桃仁、薏苡仁,荆芥、白前、陈皮,杏仁、麻黄、石膏,杏仁、川贝母、桑叶,杏仁、麦冬、生地黄
E,不属于月经周期经常提前7天以上的病机是,气虚不能摄血,阳盛迫血妄行,阴虚而虚热内扰,肝郁、血瘀，血海不宁,湿热蕴结
D,治疗脏躁的主方是,小柴胡汤,半夏厚朴汤,猪膏发煎,甘麦大枣汤,大柴胡汤
D,黎某，51岁，高血糖病史6年，手足麻木2月余。诊见：口渴喜饮但量不多，疲乏，手足麻木，时有刺痛，下肢发凉，舌淡红，苔薄黄少津，脉缓细。应首选的方剂是,桂枝芍药知母汤,桂枝加龙骨牡蛎汤,大建中汤,黄芪桂枝五物汤,小建中汤
E,腻苔不具备的特征是,苔质致密,颗粒细小,中间厚边周薄,紧贴舌面,颗粒粗大
D,既能疏散肌表经脉阻塞之病气，又能宣泄五脏六腑郁闭之邪气的手法是（   ）,拿法,摩法,振法,拍法,
C,引起艾滋病人视网膜炎的常见病原体是,巨细胞病毒,卡氏肺孢子菌,弓形虫,念珠菌,疱疹病毒
D,"在""贱者焦劳不适""中，""焦""之义为(  )",烧焦,焦味,面枯,忧急烦躁,
D,"""神宗皇帝召见褒谕""""召见""的人是( )",朱震亨,华佗,皇甫谧,钱乙,江民莹
A,意识不清，语言重复，时断时续，语声低弱，为,郑声,谵语,错语,夺气,独语
B,发热恶寒，头痛身痛，无汗气喘，宜用的方药是,小青龙汤,麻黄汤,桂枝加厚朴杏子汤,麻杏甘石汤,大青龙汤
A,以下哪种热型不属于气分证的范围(    ),身热夜甚,身热不扬,日晡潮热,壮热,寒热往来
A,"以下句中有与""病者素不应食，而反暴思之""中""暴""的同义词的句子是(  )",血气入脏即死，人腑即愈，此为卒厥,夫病痼疾，加以卒病，当先治其卒病,言未卒，因嘘唏服臆，魂精泄横，流涕长潸,佗令温汤近热，渍乎其中，卒可得寐,
B,肺气上逆可见,呃逆,咳喘,腹胀,心悸,眩晕
C,"在""费黄金十笏矣""中，""笏""之义为(  )",手板,记事牌,指数量，条,指所铸金银形状,
B,患者白睛发红，多为,心火,肺火,脾有湿热,肝经风热,肝胆湿热
A,"""表实者里必虚，里实者表必虚，经实者络必虚，络实者经必虚""言( )",邪实是因，正虚为果,邪实是因，体病为果,正虚为因，邪实是果,体病为因，邪实是果,正虚是因，体病为果
B,具有平息内风、祛除外风功效的药物是,羚羊角,天麻,钩藤,地龙,蜈蚣
A,镜下脓尿的诊断标准是每高倍视野下白细胞数,>5个,>20个,>100个,>10个,>50个
B,清暑益气汤的功用是,清暑除烦，益气和胃,清暑益气，养阴生津,清暑利湿，益气和胃,清暑益气，和胃止呕,益气养阴，清透暑热
D,"在""掌和王之六食、六饮""中，""和""之义为(  )",并列连词,介词。跟、与,混合、混同,调配、调制,
D,医疗条件及医务人员的技术水平主要会成为,影响对症状评价的因素,影响求医行为的因素,影响遵医行为的因素,影响疾病诊断的因素,影响疾病预后的因素
D,下列麻黄汤煎服法中哪项是正确的（   ）,温覆使大汗出,啜热稀粥一升余，以助药力,可兼服大蒜、胡荽以助发汗,若一服汗出病差，停后服，不必尽剂,先煮麻黄、桂枝，去上沫
E,下列各项，不属镇肝熄风汤和大定风珠汤所共有药物的是,白芍、甘草,龟板、牡蛎,龟板、甘草,白芍、牡蛎,鳖甲、牛膝
C,患者，男性，30岁，腰痛2周，伴左下肢后外侧放射痛1天，腿痛出现后自觉腰痛减轻。查体：平腰，腰椎右侧凸，L5～S1棘间左侧压痛，并放射至左下肢，直腿抬高试验左40度，右60度，左侧直腿抬高加强试验(+)，屈颈试验(+)，仰卧挺腹试验、(+)，腰椎X线片：L5～S1间隙变窄。该患者应诊断为：,急性腰骶关节扭伤,退行性脊柱炎,腰椎间盘突出症,腰肌劳损,强直性脊柱炎
B,舌尖红赤破碎属于,肝火上炎,心火上炎,肝肾阴虚，阴虚火旺,风热犯肺,胃火炽盛
C,按照药性升降浮沉理论，具有升浮药性的药物是,重镇安神药,平肝息风药,开窍药,清热药,泻下药
D,低钾血症时肠鸣音的变化是,肠鸣音正常,肠鸣音活跃,肠鸣音亢进,肠鸣音减弱,肠鸣音消失
C,"在""每一书已，向辄条其篇目，撮其旨意，录而奏之""中，""条""之义为(  )",枝条,分条目,分条列出,一条一条地,
C,"在""阳若同心，阴为浸润""中""阳""之义为(  )",公开,正面,表面上,当面,
C,具有清热解毒、清肺化痰功效的药物是,黄连,苦参,硼砂,乌梅,土茯苓
E,"中医病因学中，""六淫""指的是",风、寒、暑、湿、燥、火,六种正常的气候变化,六种病理变化现象,六种不同的气候变化,六种外感病邪的统称
D,"在""后以裁成天地之道，辅相天地之宜""中，""裁成""之义为(  )","犹""才成""，才完成",裁开,剪成,剪裁成就,
A,桡神经损伤出现：,腕下垂,拇指不能作对掌、外展活动，拇指、示指不能过伸，大鱼际萎缩,呈猿手畸形,拇指不能内收，其余四指不能作内收和外展运动，第四、五手指关节不能屈曲,呈爪形手
C,下列属于寒凉性能作用的是,温经,补火,清热,回阳,温里
